#{"t_start": 1760695127.3448179, "env_id": "None"}
r,l,t
-204.48523,887,4181.339876
-133.27846,1000,4184.256822
-44.578186,372,4188.233619
221.82758,347,4189.709459
-80.33565,163,4189.771101
272.75177,352,4206.968105
-58.414387,480,4216.236834
194.0116,527,4219.247381
58.979584,147,4223.11548
-169.91394,689,4228.848351
-78.921364,1000,4231.308011
-73.984665,1000,4236.000132
273.70422,295,4237.567872
-106.56671,180,4241.852781
-109.271416,149,4248.816718
160.81918,448,4250.528844
220.99187,335,4251.434084
99.27657,665,4254.511425
59.590927,159,4256.512774
-21.259706,1000,4257.104666
-89.855675,239,4265.631626
69.29599,139,4272.104228
-144.66278,414,4272.432909
-142.27039,620,4281.65867
-42.401276,1000,4288.217407
-157.3092,640,4288.583669
-101.228355,652,4292.01132
54.242355,177,4292.40446
-64.90158,552,4300.636487
-96.187004,413,4308.638141
142.65504,738,4312.308457
230.80289,437,4314.380386
-93.27632,155,4322.927315
289.81747,302,4328.000735
108.05209,757,4334.242425
195.649,559,4334.629182
-60.34359,1000,4344.497472
-73.71655,1000,4373.903662
164.31079,695,4376.857709
-85.21841,1000,4384.492411
-51.608948,1000,4391.209618
-75.50046,1000,4396.954274
-56.397705,1000,4407.496089
166.15997,665,4419.265774
90.29661,929,4430.972103
-66.78792,297,4438.783421
77.750244,183,4441.674976
-31.68989,1000,4449.858902
-106.04177,1000,4454.849011
158.09549,712,4455.061957
-68.11789,1000,4464.193335
55.309372,180,4465.350059
67.05098,156,4467.581774
-77.9629,203,4480.327134
213.83194,513,4518.55206
-162.36256,961,4529.7181
226.84924,432,4530.047136
-57.023922,1000,4536.299606
-107.19242,680,4543.563526
-97.92439,1000,4556.779634
-73.50955,1000,4609.0672
-54.001442,1000,4616.690272
-71.04272,1000,4616.958926
-130.88916,198,4620.955032
-43.22729,1000,4620.986485
-64.2661,1000,4625.89427
-100.908424,196,4627.791608
-59.181576,1000,4634.146663
105.635086,669,4665.498521
-87.94875,1000,4683.478936
144.81334,840,4684.679784
-230.79764,993,4687.115464
-54.644543,1000,4691.556074
14.425964,151,4698.900066
-95.33923,1000,4699.915012
121.95541,657,4708.092293
167.0274,542,4734.235541
-32.64983,1000,4751.402094
-66.82467,1000,4752.567671
-62.17052,1000,4759.245053
-186.32574,900,4760.105974
-50.932217,1000,4774.698153
-177.37158,806,4788.863973
166.88243,717,4792.088843
199.44287,581,4792.562061
-155.61624,196,4798.84016
62.638992,182,4804.850125
126.776474,898,4813.316537
-39.774544,1000,4813.519691
59.543365,191,4815.312253
68.982254,209,4827.318034
-94.284744,1000,4837.913386
-121.01718,724,4838.808983
211.24863,541,4846.415797
192.34488,598,4853.294464
-17.893957,1000,4860.968022
154.63826,723,4869.30475
193.1547,535,4873.094287
145.19315,596,4882.026059
161.97203,648,4891.991231
-32.933445,1000,4900.135749
166.24399,668,4915.061004
-122.85793,862,4916.243452
108.84332,761,4930.804258
-47.208088,1000,4932.335743
-72.4894,557,4936.826906
-103.22707,925,4951.04219
286.0456,303,4952.101928
145.87242,691,4958.06127
200.60028,535,4960.636131
220.31686,547,4965.230153
-22.85372,1000,4972.938212
247.5033,341,4980.025614
221.99576,462,4981.426725
301.9002,266,4987.306087
195.64212,676,5002.877529
-31.903728,1000,5008.323774
-24.144651,1000,5009.267708
230.46378,401,5032.752379
238.71669,441,5033.183471
153.9415,948,5039.274743
-70.83136,1000,5039.59429
-14.607959,1000,5047.261623
173.99799,771,5048.350707
182.68634,585,5068.489582
224.76572,594,5069.15284
186.56323,505,5069.342349
204.89641,527,5069.745901
226.00052,450,5074.711853
188.86124,471,5076.247157
-98.02115,169,5077.291942
-71.25624,227,5082.435826
310.8943,274,5083.437669
157.17302,709,5109.545943
195.51218,614,5109.627371
115.124794,709,5127.506825
-38.415707,1000,5136.314761
131.12039,989,5137.225024
37.772522,1000,5143.065411
248.7527,580,5143.880517
168.81802,685,5150.055974
-166.65276,147,5151.404583
